Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2022,4,Buenos Aires,1.653,"4.883,00"
2022,4,Capital Federal,2.397,"5.844,00"
2022,4,Catamarca,1.282,"5.039,00"
2022,4,Chaco,1.006,"3.765,00"
2022,4,Chubut,1.252,"4.084,00"
2022,4,Córdoba,2.971,"9.705,00"
2022,4,Corrientes,1.209,"4.593,00"
2022,4,Entre Ríos,1.643,"5.496,00"
2022,4,Formosa,1.106,"4.345,00"
2022,4,Jujuy,1.498,"5.857,00"
2022,4,La Pampa,2.313,"7.019,00"
2022,4,La Rioja,596,"224,00"
2022,4,Mendoza,667,"2.391,00"
2022,4,Misiones,1.117,"4.101,00"
2022,4,Neuquén,1.109,"3.724,00"
2022,4,Río Negro,1.382,"4.493,00"
2022,4,Salta,1.479,"6.108,00"
2022,4,San Juan,495,"1.944,00"
2022,4,San Luis,930,"3.249,00"
2022,4,Santa Cruz,952,"3.199,00"
2022,4,Santa Fe,2.125,"6.759,00"
2022,4,Santiago Del Estero,1.533,"6.178,00"
2022,4,Tierra Del Fuego,2.398,"8.091,00"
2022,4,Tucumán,792,"3.198,00"
2022,3,Buenos Aires,1.675,"4.960,00"
2022,3,Capital Federal,2.412,"5.873,00"
2022,3,Catamarca,1.236,"4.858,00"
2022,3,Chaco,990,"3.706,00"
2022,3,Chubut,1.248,"4.073,00"
2022,3,Córdoba,2.970,"9.702,00"
2022,3,Corrientes,1.189,"4.517,00"
2022,3,Entre Ríos,1.636,"5.471,00"
2022,3,Formosa,1.105,"4.342,00"
2022,3,Jujuy,1.477,"5.776,00"
2022,3,La Pampa,2.033,"6.171,00"
2022,3,La Rioja,599,"2.249,00"
2022,3,Mendoza,655,"2.347,00"
2022,3,Misiones,1.107,"4.065,00"
2022,3,Neuquén,1.082,"3.634,00"
2022,3,Río Negro,1.319,"4.288,00"
2022,3,Salta,1.467,"6.058,00"
2022,3,San Juan,492,"1.932,00"
2022,3,San Luis,908,"3.172,00"
2022,3,Santa Cruz,1.092,"3.671,00"
2022,3,Santa Fe,2.111,"6.715,00"
2022,3,Santiago Del Estero,1.511,"6.090,00"
2022,3,Tierra Del Fuego,2.401,"8.100,00"
2022,3,Tucumán,756,"3.052,00"
2022,2,Buenos Aires,1.676,"4.977,00"
2022,2,Capital Federal,2.418,"5.882,00"
2022,2,Catamarca,1.235,"4.855,00"
2022,2,Chaco,995,"3.724,00"
2022,2,Chubut,1.239,"4.043,00"
2022,2,Córdoba,2.977,"9.725,00"
2022,2,Corrientes,1.163,"4.416,00"
2022,2,Entre Ríos,1.632,"5.459,00"
2022,2,Formosa,1.096,"4.307,00"
2022,2,Jujuy,1.428,"5.586,00"
2022,2,La Pampa,2.141,"6.498,00"
2022,2,La Rioja,597,"2.241,00"
2022,2,Mendoza,640,"2.295,00"
2022,2,Misiones,1.107,"4.064,00"
2022,2,Neuquén,1.114,"3.743,00"
2022,2,Río Negro,1.405,"4.567,00"
2022,2,Salta,1.465,"6.050,00"
2022,2,San Juan,469,"1.840,00"
2022,2,San Luis,906,"3.165,00"
2022,2,Santa Cruz,1.097,"3.686,00"
2022,2,Santa Fe,2.091,"6.649,00"
2022,2,Santiago Del Estero,1.489,"6.000,00"
2022,2,Tierra Del Fuego,2.339,"7.889,00"
2022,2,Tucumán,765,"3.089,00"
2022,1,Buenos Aires,1.670,"4.970,00"
2022,1,Capital Federal,2.419,"5.878,00"
